Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
PSP,2011.0,Fighting,Square Enix,0.88,78.0,52.0,8.3,144.0,T
Wii,2006.0,Racing,Ubisoft,0.88,51.0,11.0,7.8,17.0,E
XOne,2016.0,Action,Ubisoft,0.88,77.0,27.0,6.4,194.0,M
3DS,2012.0,Action,Capcom,0.88,82.0,78.0,8.5,397.0,M
DS,2008.0,Role-Playing,Sega,0.88,74.0,55.0,7.3,81.0,E
DS,2008.0,Action,LucasArts,0.88,61.0,8.0,5.5,18.0,T
PC,2008.0,Action,Take-Two Interactive,0.88,90.0,40.0,6.6,2299.0,M
X360,2010.0,Misc,MTV Games,0.88,93.0,57.0,8.2,137.0,T
X360,2010.0,Fighting,THQ,0.88,75.0,49.0,7.6,45.0,T
PS2,2004.0,Sports,Global Star,0.88,86.0,25.0,8.1,18.0,E
PS4,2015.0,Shooter,Take-Two Interactive,0.88,82.0,49.0,7.8,345.0,M
XB,2003.0,Simulation,Microsoft Game Studios,0.87,88.0,49.0,8.8,45.0,T
Wii,2007.0,Sports,Electronic Arts,0.87,76.0,29.0,6.8,27.0,E
PS,2001.0,Shooter,TalonSoft,0.87,48.0,4.0,6.6,16.0,T
Wii,2009.0,Racing,Codemasters,0.87,69.0,29.0,7.2,30.0,E
XB,2003.0,Shooter,Ubisoft,0.87,81.0,33.0,8.8,17.0,M
X360,2012.0,Action,Square Enix ,0.87,80.0,47.0,7.9,468.0,M
X360,2012.0,Role-Playing,Electronic Arts,0.87,80.0,71.0,7.7,446.0,M
PS2,2008.0,Role-Playing,Square Enix,0.87,68.0,20.0,7.2,105.0,E10+
PSP,2009.0,Role-Playing,Sega,0.87,69.0,27.0,8.1,35.0,T
X360,2011.0,Misc,Ubisoft,0.87,63.0,31.0,6.8,29.0,E10+
PS3,2012.0,Action,Sony Computer Entertainment,0.87,73.0,69.0,6.9,159.0,E
PS2,2006.0,Sports,Activision,0.87,69.0,17.0,7.3,19.0,T
X360,2008.0,Racing,Codemasters,0.87,87.0,62.0,7.9,131.0,E
X360,2007.0,Racing,Codemasters,0.87,83.0,59.0,7.4,94.0,E
X360,2009.0,Shooter,THQ,0.87,85.0,84.0,8.1,237.0,M
PS2,2005.0,Fighting,Electronic Arts,0.87,88.0,37.0,9,37.0,T
XB,2002.0,Shooter,SCi,0.87,65.0,14.0,8.1,17.0,T
Wii,2008.0,Simulation,505 Games,0.87,62.0,17.0,4.9,12.0,E
X360,2008.0,Shooter,Ubisoft,0.87,76.0,65.0,8.3,149.0,M
PS,2000.0,Role-Playing,Crave Entertainment,0.87,92.0,19.0,8.3,129.0,T
PS2,2007.0,Action,Tecmo Koei,0.87,55.0,14.0,8.2,16.0,T
PS3,2013.0,Shooter,Electronic Arts,0.87,77.0,23.0,6.3,288.0,M
PS3,2008.0,Shooter,Electronic Arts,0.87,72.0,43.0,7.1,73.0,T
Wii,2009.0,Action,Atari,0.86,76.0,29.0,8.5,28.0,E10+
PS4,2015.0,Misc,Activision,0.86,80.0,69.0,6.2,160.0,T
Wii,2009.0,Simulation,Nintendo,0.86,76.0,42.0,8.5,26.0,E10+
PSP,2006.0,Sports,Konami Digital Entertainment,0.86,81.0,10.0,8.3,14.0,E
PS2,2002.0,Fighting,Rage Software,0.86,74.0,14.0,8.4,11.0,T
PS,2001.0,Racing,Empire Interactive,0.86,53.0,4.0,5.8,4.0,E
X360,2010.0,Misc,Activision,0.86,72.0,65.0,6.5,51.0,T
PSP,2006.0,Puzzle,Sony Computer Entertainment,0.86,76.0,46.0,7.9,14.0,E
PS2,2003.0,Action,Tecmo Koei,0.86,72.0,15.0,9.1,39.0,T
X360,2010.0,Sports,Electronic Arts,0.85,83.0,61.0,8.1,58.0,E
Wii,2007.0,Action,Eidos Interactive,0.85,73.0,22.0,7.3,25.0,T
X360,2007.0,Sports,Take-Two Interactive,0.85,81.0,33.0,7,28.0,E
XB,2004.0,Sports,Electronic Arts,0.85,88.0,26.0,8.9,14.0,E
PS3,2012.0,Role-Playing,Electronic Arts,0.85,81.0,34.0,7.6,376.0,M
PS3,2008.0,Fighting,Atari,0.85,71.0,32.0,7.2,51.0,T
PS3,2012.0,Fighting,Namco Bandai Games,0.85,82.0,50.0,8.2,193.0,T
PS3,2009.0,Action,Ubisoft Annecy,0.85,83.0,52.0,7.7,115.0,M
PS2,2007.0,Action,THQ,0.85,65.0,9.0,8,11.0,E
PS2,2002.0,Racing,Acclaim Entertainment,0.85,86.0,31.0,8.2,48.0,E
WiiU,2013.0,Sports,Nintendo,0.85,72.0,19.0,7.7,72.0,E
PS2,2000.0,Fighting,Virgin Interactive,0.85,64.0,17.0,7.9,31.0,T
DS,2008.0,Platform,Nintendo,0.85,75.0,25.0,8.4,26.0,E
PS3,2010.0,Sports,Electronic Arts,0.85,85.0,22.0,7.4,25.0,E
Wii,2009.0,Shooter,Sega,0.85,78.0,65.0,8.7,95.0,M
PS3,2010.0,Shooter,Electronic Arts,0.85,74.0,56.0,7,88.0,M
PS3,2012.0,Action,THQ,0.84,84.0,39.0,7.1,422.0,M
GC,2004.0,Action,Activision,0.84,80.0,41.0,8.8,30.0,T
PS3,2012.0,Role-Playing,Namco Bandai Games,0.84,71.0,59.0,7.9,216.0,T
PS3,2009.0,Action,Sony Computer Entertainment,0.84,78.0,74.0,7.9,96.0,T
GC,2004.0,Action,THQ,0.84,63.0,27.0,7.1,7.0,T
WiiU,2015.0,Role-Playing,Nintendo,0.84,84.0,87.0,8.9,1548.0,T
PS3,2009.0,Sports,Take-Two Interactive,0.84,83.0,30.0,7.8,39.0,E
PS3,2009.0,Sports,Electronic Arts,0.84,84.0,50.0,7.8,53.0,T
PS2,2002.0,Racing,Empire Interactive,0.84,62.0,15.0,5.3,20.0,T
PS2,2005.0,Role-Playing,Sony Computer Entertainment,0.84,83.0,59.0,8.4,89.0,T
PS2,2004.0,Sports,Sega,0.84,86.0,14.0,8.1,10.0,E
PS3,2013.0,Sports,Electronic Arts,0.84,77.0,9.0,6.2,40.0,E
DS,2007.0,Action,Electronic Arts,0.84,51.0,15.0,4.9,19.0,E
X360,2012.0,Shooter,505 Games,0.84,67.0,37.0,6.8,131.0,M
GBA,2004.0,Adventure,Nintendo,0.84,89.0,50.0,9,132.0,E
PSP,2005.0,Racing,Electronic Arts,0.84,86.0,53.0,8.4,108.0,E10+
Wii,2007.0,Simulation,Ubisoft,0.83,57.0,11.0,6.7,28.0,T
Wii,2008.0,Sports,Electronic Arts,0.83,82.0,19.0,7.2,22.0,E
PS2,2000.0,Action,THQ,0.83,75.0,17.0,8.8,24.0,T
PS3,2007.0,Shooter,Namco Bandai Games,0.83,60.0,52.0,7.4,21.0,T
X360,2011.0,Shooter,Take-Two Interactive,0.83,49.0,76.0,4.4,456.0,M
GBA,2004.0,Action,Disney Interactive Studios,0.83,57.0,6.0,5,5.0,E
PS3,2011.0,Sports,Electronic Arts,0.83,82.0,17.0,5.8,41.0,E
XB,2003.0,Shooter,Microsoft Game Studios,0.83,77.0,45.0,7.8,49.0,M
PS3,2010.0,Sports,Electronic Arts,0.83,78.0,40.0,6.7,17.0,E
Wii,2008.0,Fighting,THQ,0.83,79.0,18.0,8.5,18.0,T
PS2,2005.0,Platform,Sony Computer Entertainment,0.83,83.0,59.0,8.8,130.0,E10+
Wii,2009.0,Racing,Electronic Arts,0.83,69.0,41.0,7.4,38.0,E10+
PS3,2012.0,Fighting,Capcom,0.83,84.0,51.0,5.3,191.0,T
X360,2008.0,Strategy,Take-Two Interactive,0.83,84.0,55.0,7.8,171.0,E10+
3DS,2011.0,Role-Playing,Namco Bandai Games,0.83,75.0,33.0,7.6,197.0,T
PS3,2011.0,Action,Electronic Arts,0.83,82.0,52.0,4.3,1197.0,M
Wii,2011.0,Shooter,Activision,0.82,70.0,16.0,1.8,442.0,M
XB,2002.0,Shooter,Electronic Arts,0.82,78.0,30.0,7.8,25.0,T
GC,2001.0,Sports,Activision,0.82,91.0,27.0,9,27.0,T
PS2,2006.0,Role-Playing,Activision,0.82,81.0,29.0,8.2,33.0,T
X360,2010.0,Misc,Activision,0.82,86.0,66.0,7.9,23.0,T
Wii,2007.0,Simulation,Rising Star Games,0.82,65.0,18.0,8.2,28.0,E
PSP,2005.0,Sports,Activision,0.82,83.0,49.0,8,34.0,T
XB,2002.0,Racing,Electronic Arts,0.82,75.0,18.0,6.4,15.0,E
XB,2001.0,Sports,Microsoft Game Studios,0.82,78.0,30.0,9,20.0,E
X360,2007.0,Shooter,Midway Games,0.82,77.0,59.0,7.6,91.0,M
PS2,2008.0,Role-Playing,Atlus,0.82,90.0,47.0,8.9,634.0,M
PS3,2012.0,Action,Capcom,0.82,74.0,27.0,8.8,158.0,M
X360,2012.0,Misc,Microsoft Game Studios,0.81,86.0,43.0,8,45.0,T
PS,2000.0,Role-Playing,Namco Bandai Games,0.81,78.0,9.0,8.7,31.0,T
PS,2000.0,Racing,Electronic Arts,0.81,73.0,8.0,6.1,9.0,E
GC,2004.0,Action,Nintendo,0.81,86.0,55.0,7.2,74.0,E
PSP,2005.0,Adventure,Sony Computer Entertainment,0.81,66.0,43.0,8.7,52.0,T
PS,1999.0,Role-Playing,Enix Corporation,0.81,81.0,8.0,8.8,37.0,T
PSP,2007.0,Misc,Sony Computer Entertainment,0.81,86.0,60.0,8.7,102.0,E
X360,2009.0,Sports,Konami Digital Entertainment,0.81,78.0,34.0,7.6,29.0,E
PS2,2004.0,Shooter,Ubisoft,0.81,70.0,34.0,8.2,17.0,M
XOne,2013.0,Sports,Electronic Arts,0.81,73.0,18.0,5.9,111.0,E
PS3,2009.0,Sports,Electronic Arts,0.81,80.0,20.0,6.9,14.0,E
PS3,2010.0,Misc,Activision,0.81,74.0,46.0,7.1,30.0,T
PS2,2005.0,Simulation,Electronic Arts,0.81,75.0,31.0,4.4,166.0,T
PS3,2010.0,Fighting,Namco Bandai Games,0.81,60.0,27.0,7.5,63.0,T
PS2,2005.0,Action,Sega,0.8,75.0,58.0,8.2,73.0,M
GC,2003.0,Simulation,LucasArts,0.8,75.0,36.0,7.6,50.0,T
PS2,2004.0,Shooter,Eidos Interactive,0.8,80.0,39.0,8.3,43.0,M
3DS,2012.0,Puzzle,Level 5,0.8,79.0,69.0,8.5,99.0,T
Wii,2008.0,Action,Koch Media,0.8,45.0,6.0,7.8,11.0,E10+
PS,1999.0,Role-Playing,Square EA,0.8,80.0,14.0,8.1,28.0,T
X360,2009.0,Racing,Codemasters,0.8,87.0,65.0,8.2,110.0,T
XB,2004.0,Action,Ubisoft,0.8,83.0,55.0,7.5,35.0,M
PSV,2013.0,Shooter,Sony Computer Entertainment Europe,0.8,78.0,86.0,8.9,513.0,M
PSP,2009.0,Sports,Konami Digital Entertainment,0.8,72.0,9.0,4.6,5.0,E
X360,2009.0,Misc,Activision,0.8,84.0,62.0,8.1,79.0,T
PSV,2013.0,Role-Playing,Square Enix,0.8,86.0,14.0,8.5,223.0,T
GC,2002.0,Racing,Electronic Arts,0.8,68.0,16.0,8.3,15.0,E
DS,2007.0,Misc,Ubisoft,0.8,57.0,8.0,7,15.0,E10+
PSP,2006.0,Simulation,Electronic Arts,0.79,57.0,9.0,7.3,10.0,T
PS2,2006.0,Fighting,Atari,0.79,73.0,31.0,8.6,61.0,T
PS2,2008.0,Misc,Activision,0.79,71.0,11.0,6.3,15.0,T
Wii,2009.0,Action,LucasArts,0.79,48.0,10.0,6.4,5.0,T
PSP,2010.0,Sports,Konami Digital Entertainment,0.79,74.0,10.0,5.8,5.0,E
GC,2003.0,Role-Playing,Ubisoft,0.79,79.0,28.0,8.9,148.0,E
PS3,2013.0,Action,Capcom,0.79,85.0,40.0,5.3,1471.0,M
PS,2001.0,Racing,Take-Two Interactive,0.79,34.0,6.0,5.3,6.0,E
X360,2012.0,Action,THQ,0.79,83.0,63.0,8,456.0,M
X360,2013.0,Racing,Electronic Arts,0.79,76.0,12.0,5.4,107.0,E10+
X360,2012.0,Action,Activision,0.79,74.0,69.0,7,173.0,M
PS2,2000.0,Simulation,Ubisoft,0.79,78.0,23.0,8.4,19.0,T
X360,2009.0,Action,Electronic Arts,0.79,65.0,72.0,6.9,60.0,M
X360,2012.0,Role-Playing,Capcom,0.79,75.0,59.0,7.8,320.0,M
PS4,2015.0,Sports,Konami Digital Entertainment,0.79,87.0,54.0,7.1,680.0,E
XOne,2015.0,Misc,Microsoft Game Studios,0.79,84.0,75.0,7.7,325.0,M
X360,2009.0,Misc,Activision,0.79,76.0,52.0,5,30.0,E10+
PS2,2007.0,Sports,Electronic Arts,0.79,83.0,6.0,8.3,23.0,E
XB,2003.0,Sports,Electronic Arts,0.79,82.0,20.0,8.2,23.0,E
PSP,2007.0,Simulation,Electronic Arts,0.79,64.0,5.0,7.3,18.0,E10+
X360,2009.0,Role-Playing,Square Enix,0.79,72.0,56.0,7.2,150.0,T
PS3,2011.0,Shooter,City Interactive,0.79,53.0,17.0,6,34.0,M
PSP,2009.0,Strategy,Sony Computer Entertainment,0.79,69.0,32.0,7.3,19.0,E10+
PS3,2014.0,Sports,Take-Two Interactive,0.78,55.0,5.0,3.1,57.0,T
X360,2008.0,Role-Playing,Microsoft Game Studios,0.78,65.0,80.0,7,458.0,T
PS3,2009.0,Sports,Electronic Arts,0.78,81.0,38.0,7.7,9.0,E
X360,2006.0,Action,Ubisoft,0.78,85.0,59.0,8.1,148.0,M
X360,2010.0,Fighting,Namco Bandai Games,0.78,74.0,31.0,8.5,39.0,T
DS,2010.0,Role-Playing,Nintendo,0.78,79.0,63.0,8.1,86.0,E10+
X360,2011.0,Fighting,Electronic Arts,0.78,86.0,59.0,7.4,105.0,M
X360,2013.0,Action,Deep Silver,0.78,57.0,43.0,6.3,192.0,M
DS,2008.0,Action,LucasArts,0.78,68.0,10.0,7.8,32.0,E10+
DS,2007.0,Role-Playing,Square Enix,0.78,88.0,59.0,8.9,283.0,T
DS,2007.0,Action,THQ,0.78,73.0,34.0,8.2,30.0,E
PS3,2008.0,Strategy,Take-Two Interactive,0.78,85.0,39.0,7.7,87.0,E10+
PS2,2006.0,Sports,Take-Two Interactive,0.78,81.0,12.0,8.4,18.0,E
GC,2002.0,Shooter,Electronic Arts,0.78,80.0,17.0,8.6,46.0,T
PS3,2011.0,Shooter,Activision,0.78,72.0,38.0,6.3,52.0,T
X360,2011.0,Platform,Ubisoft,0.78,87.0,55.0,8.2,209.0,E10+
X360,2013.0,Shooter,Sega,0.77,48.0,47.0,3.8,449.0,M
X360,2008.0,Misc,Microsoft Game Studios,0.77,71.0,43.0,7.4,34.0,T
Wii,2009.0,Action,Sega,0.77,81.0,74.0,8.6,176.0,M
PSP,2008.0,Racing,Electronic Arts,0.77,57.0,14.0,7.1,19.0,E
X360,2005.0,Shooter,Microsoft Game Studios,0.77,81.0,75.0,7.3,229.0,M
PS2,2005.0,Fighting,Electronic Arts,0.77,53.0,30.0,6.3,46.0,T
PS,1999.0,Racing,Electronic Arts,0.77,78.0,13.0,8.5,24.0,E
X360,2012.0,Action,Capcom,0.77,52.0,56.0,4.9,330.0,M
X360,2011.0,Sports,THQ,0.77,70.0,36.0,6.5,15.0,E
PSP,2006.0,Strategy,THQ,0.77,70.0,22.0,6.6,18.0,E10+
GBA,2002.0,Action,THQ,0.77,38.0,14.0,5,6.0,E
Wii,2007.0,Shooter,Sega,0.77,69.0,42.0,7.5,31.0,T
PS2,2001.0,Platform,Capcom,0.77,84.0,33.0,8.7,16.0,T
GBA,2005.0,Platform,Nintendo,0.77,77.0,16.0,8.4,27.0,E
PS2,2002.0,Sports,Acclaim Entertainment,0.77,81.0,15.0,8.4,17.0,E
PS2,2002.0,Role-Playing,Atari,0.77,45.0,26.0,3,29.0,T
DS,2004.0,Racing,Nintendo,0.77,46.0,28.0,5.9,34.0,E
PS3,2009.0,Fighting,Namco Bandai Games,0.77,57.0,26.0,7.2,58.0,T
PSP,2005.0,Action,Sony Computer Entertainment,0.77,79.0,45.0,8.2,38.0,T
PS2,2008.0,Platform,Sega,0.76,66.0,5.0,6.7,49.0,E10+
XB,2004.0,Racing,Atari,0.76,56.0,57.0,4.7,69.0,M
PS,1998.0,Sports,Konami Digital Entertainment,0.76,94.0,4.0,8.7,40.0,E
PSP,2008.0,Racing,Electronic Arts,0.76,52.0,7.0,6.8,37.0,T
DS,2006.0,Shooter,Nintendo,0.76,85.0,54.0,8,188.0,T
WiiU,2014.0,Action,Nintendo,0.76,91.0,80.0,8.2,1217.0,M
PSP,2009.0,Shooter,LucasArts,0.76,63.0,25.0,8,41.0,T
PS2,2004.0,Shooter,Sony Computer Entertainment,0.76,65.0,47.0,6.9,30.0,M
3DS,2011.0,Simulation,Electronic Arts,0.76,52.0,29.0,3.3,31.0,T
XB,2004.0,Fighting,Midway Games,0.76,81.0,53.0,8.8,24.0,M
GBA,2004.0,Adventure,Disney Interactive Studios,0.76,39.0,6.0,7.6,5.0,E
Wii,2009.0,Misc,Activision,0.76,87.0,22.0,7.6,19.0,T
PC,2011.0,Shooter,Valve Software,0.76,95.0,52.0,8.8,5999.0,E10+
PS3,2011.0,Shooter,Take-Two Interactive,0.76,51.0,48.0,4.9,278.0,M
Wii,2010.0,Action,LucasArts,0.76,71.0,10.0,7.8,31.0,T
Wii,2009.0,Action,Electronic Arts,0.75,60.0,35.0,6,8.0,E10+
PS2,2008.0,Platform,THQ,0.75,67.0,8.0,8.4,9.0,E
3DS,2013.0,Puzzle,Nintendo,0.75,81.0,58.0,7.9,86.0,E10+
PS,2000.0,Platform,Capcom,0.75,76.0,10.0,8.9,55.0,E
PS4,2016.0,Shooter,Electronic Arts,0.75,89.0,56.0,8.4,704.0,M
PS3,2006.0,Action,Sony Computer Entertainment,0.75,55.0,46.0,5.8,30.0,T
XOne,2015.0,Action,Konami Digital Entertainment,0.75,95.0,10.0,7.3,900.0,M
X360,2006.0,Sports,Take-Two Interactive,0.75,81.0,75.0,7.8,69.0,E
Wii,2009.0,Puzzle,THQ,0.75,58.0,22.0,6,8.0,E
Wii,2011.0,Action,Nintendo,0.75,60.0,18.0,7,27.0,E
PS3,2010.0,Misc,Activision,0.75,86.0,46.0,7.8,22.0,T
PSP,2008.0,Fighting,THQ,0.75,72.0,9.0,6,9.0,T
3DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.75,72.0,6.0,5.2,25.0,E10+
PS3,2012.0,Fighting,Namco Bandai Games,0.75,81.0,53.0,6.7,150.0,T
PS2,2004.0,Action,Activision,0.75,69.0,30.0,6.5,6.0,E
PS2,2001.0,Shooter,Konami Digital Entertainment,0.75,78.0,21.0,7.4,49.0,M
PS4,2014.0,Sports,Konami Digital Entertainment,0.75,82.0,56.0,7.2,386.0,E
XB,2004.0,Sports,Activision,0.75,83.0,55.0,7.8,12.0,T
PSP,2005.0,Sports,Electronic Arts,0.75,75.0,23.0,7.9,16.0,E
Wii,2010.0,Adventure,Ubisoft,0.75,62.0,24.0,7.6,14.0,E10+
PS2,2001.0,Fighting,Capcom,0.75,81.0,22.0,7.9,27.0,T
PS2,2006.0,Sports,Electronic Arts,0.75,76.0,27.0,9,18.0,E
X360,2008.0,Action,Touchstone,0.75,69.0,63.0,7.1,120.0,M
PSP,2005.0,Shooter,Konami Digital Entertainment,0.75,59.0,42.0,6.5,61.0,T
DS,2007.0,Role-Playing,Square Enix,0.75,80.0,47.0,6.9,106.0,E10+
PS3,2009.0,Action,Electronic Arts,0.74,54.0,45.0,7.1,57.0,T
PS3,2009.0,Misc,Activision,0.74,76.0,45.0,5.7,9.0,E10+
PS2,2001.0,Racing,Acclaim Entertainment,0.74,79.0,25.0,7.7,33.0,E
DS,2007.0,Role-Playing,Disney Interactive Studios,0.74,63.0,37.0,7.9,31.0,E
PS3,2009.0,Action,Electronic Arts,0.74,67.0,53.0,7.2,50.0,M
PSP,2006.0,Fighting,Midway Games,0.74,70.0,19.0,8.8,31.0,M
PSP,2009.0,Racing,Electronic Arts,0.74,69.0,11.0,6.5,31.0,E
X360,2014.0,Role-Playing,Namco Bandai Games,0.74,91.0,30.0,7.9,915.0,T
PC,2011.0,Action,Ubisoft,0.74,80.0,20.0,7.4,771.0,M
PS3,2012.0,Action,Activision,0.74,79.0,39.0,6.8,179.0,M
XB,2005.0,Racing,Take-Two Interactive,0.74,84.0,53.0,7.4,40.0,E10+
PS3,2013.0,Action,Capcom,0.74,74.0,30.0,7.2,204.0,M
PSP,2007.0,Shooter,Ubisoft,0.74,60.0,20.0,7.1,31.0,T
PS3,2009.0,Shooter,THQ,0.74,85.0,56.0,8.1,136.0,M
PS3,2011.0,Action,Namco Bandai Games,0.74,77.0,28.0,6.7,82.0,T
XB,2002.0,Shooter,Atari,0.74,83.0,29.0,8.2,24.0,M
PC,2011.0,Action,Electronic Arts,0.74,86.0,42.0,6.8,1594.0,M
X360,2008.0,Role-Playing,Atari,0.74,79.0,67.0,8.2,264.0,T
PS3,2013.0,Sports,Sony Computer Entertainment,0.74,87.0,36.0,7.8,114.0,E
WiiU,2013.0,Action,Warner Bros. Interactive Entertainment,0.74,82.0,8.0,8,71.0,E10+
Wii,2007.0,Misc,Atari,0.74,49.0,18.0,6.3,4.0,E
GBA,2003.0,Role-Playing,Nintendo,0.74,72.0,31.0,8.3,25.0,E
PS3,2009.0,Role-Playing,Activision,0.73,74.0,48.0,7.3,51.0,T
PC,2014.0,Role-Playing,Electronic Arts,0.73,85.0,45.0,5.9,3926.0,M
PS3,2010.0,Role-Playing,Sega,0.73,72.0,42.0,8,136.0,T
PS3,2007.0,Action,Disney Interactive Studios,0.73,55.0,24.0,6.9,19.0,T
PS3,2007.0,Sports,Electronic Arts,0.73,79.0,30.0,6.6,7.0,E
GBA,2004.0,Platform,Nintendo,0.73,55.0,15.0,4.8,4.0,E
Wii,2008.0,Simulation,Rising Star Games,0.73,76.0,10.0,8.9,20.0,E
Wii,2009.0,Fighting,THQ,0.73,78.0,11.0,7.7,9.0,T
3DS,2012.0,Simulation,Nintendo,0.73,76.0,5.0,8,15.0,E
X360,2011.0,Role-Playing,Square Enix,0.73,79.0,50.0,6.3,268.0,T
XB,2001.0,Platform,Atari,0.73,80.0,30.0,8.7,32.0,T
PS3,2012.0,Fighting,Atlus,0.73,86.0,47.0,7.7,180.0,T
PS3,2011.0,Shooter,Bethesda Softworks,0.73,72.0,39.0,5.8,168.0,T
X360,2010.0,Sports,Electronic Arts,0.73,88.0,49.0,7.7,71.0,E10+
X360,2006.0,Sports,Electronic Arts,0.73,79.0,43.0,6.9,20.0,E
XB,2004.0,Strategy,THQ,0.73,84.0,67.0,8.7,27.0,M
PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.73,71.0,70.0,7,87.0,E10+
PS2,2004.0,Puzzle,Namco Bandai Games,0.73,86.0,55.0,9,86.0,E
WiiU,2014.0,Misc,Ubisoft,0.73,75.0,6.0,6.6,26.0,E10+
PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.73,80.0,53.0,7.1,65.0,E10+
PS3,2012.0,Fighting,Namco Bandai Games,0.73,74.0,23.0,7.1,83.0,T
PS2,2001.0,Sports,Codemasters,0.73,64.0,17.0,8.7,13.0,E
GC,2002.0,Shooter,Electronic Arts,0.72,74.0,16.0,6.8,25.0,T
DS,2007.0,Simulation,Rising Star Games,0.72,65.0,15.0,7,22.0,E
GBA,2005.0,Action,Ubisoft,0.72,73.0,13.0,7.5,12.0,E10+
PS2,2005.0,Action,Activision,0.72,74.0,52.0,7.9,54.0,T
Wii,2010.0,Misc,Electronic Arts,0.72,65.0,9.0,5.2,5.0,E
PC,2013.0,Strategy,Sega,0.72,76.0,71.0,4.2,3742.0,T
PS2,2007.0,Sports,Electronic Arts,0.72,68.0,10.0,6.6,9.0,E
PS3,2010.0,Role-Playing,Square Enix,0.72,74.0,45.0,6.7,155.0,T
XB,2002.0,Shooter,Electronic Arts,0.72,73.0,39.0,8.9,16.0,M
Wii,2009.0,Action,Activision,0.72,55.0,32.0,7,28.0,T
PS2,2006.0,Sports,Electronic Arts,0.72,79.0,33.0,6,8.0,E
X360,2007.0,Sports,Spike,0.72,79.0,31.0,7.1,34.0,E
3DS,2014.0,Role-Playing,Nippon Ichi Software,0.72,83.0,56.0,8.1,169.0,M
PS4,2014.0,Sports,Sony Computer Entertainment America,0.72,83.0,17.0,7.7,205.0,E
PS,2001.0,Fighting,Activision,0.72,72.0,12.0,8.4,18.0,T
DS,2005.0,Platform,Nintendo,0.72,86.0,48.0,8.2,87.0,E
Wii,2009.0,Sports,Electronic Arts,0.72,77.0,23.0,7.2,24.0,E
PS3,2009.0,Sports,Sony Computer Entertainment,0.72,90.0,27.0,8.1,61.0,E
X360,2014.0,Shooter,Take-Two Interactive,0.72,74.0,16.0,6.4,161.0,M
GBA,2002.0,Puzzle,Atari,0.72,82.0,20.0,8.6,11.0,E
PC,2015.0,Role-Playing,Namco Bandai Games,0.72,93.0,32.0,9.3,10665.0,M
X360,2011.0,Racing,Codemasters,0.72,84.0,61.0,7.1,54.0,E
PS2,2003.0,Simulation,Namco Bandai Games,0.72,66.0,10.0,8.5,37.0,T
PS3,2010.0,Sports,Sony Computer Entertainment,0.72,91.0,33.0,8.3,107.0,E
X360,2009.0,Racing,THQ,0.72,75.0,47.0,6.6,30.0,E
PS3,2010.0,Racing,Activision,0.72,81.0,58.0,8.2,86.0,E10+
PC,2010.0,Shooter,Electronic Arts,0.72,87.0,46.0,8.3,1467.0,M
X360,2011.0,Racing,Codemasters,0.72,87.0,81.0,7.1,166.0,T
XB,2002.0,Action,Electronic Arts,0.71,79.0,17.0,8.1,18.0,T
XB,2002.0,Sports,Electronic Arts,0.71,92.0,16.0,8.3,16.0,E
X360,2007.0,Sports,Electronic Arts,0.71,86.0,59.0,8.4,137.0,T
PC,2012.0,Strategy,Take-Two Interactive,0.71,89.0,57.0,8.2,2235.0,M
PSP,2007.0,Action,D3Publisher,0.71,60.0,4.0,7.2,23.0,E10+
PS2,2003.0,Fighting,Sega,0.71,93.0,30.0,9,48.0,T
PC,2007.0,Shooter,Electronic Arts,0.71,91.0,56.0,8,1970.0,M
PS,2000.0,Action,Eidos Interactive,0.71,39.0,10.0,7,47.0,M
DS,2007.0,Simulation,Electronic Arts,0.71,66.0,8.0,4,5.0,E
GC,2002.0,Fighting,Atari,0.71,73.0,30.0,7.8,23.0,T
PS2,2003.0,Action,Konami Digital Entertainment,0.71,85.0,41.0,8.8,315.0,M
GC,2002.0,Platform,Universal Interactive,0.71,48.0,13.0,5.1,24.0,E
PS2,2004.0,Action,THQ,0.71,49.0,6.0,6.2,5.0,E
PSP,2007.0,Sports,Electronic Arts,0.71,75.0,10.0,6.8,8.0,E
PSP,2008.0,Sports,Electronic Arts,0.71,68.0,8.0,6.5,4.0,E
X360,2008.0,Sports,Electronic Arts,0.71,77.0,32.0,7.4,14.0,E
PS4,2016.0,Action,Namco Bandai Games,0.71,73.0,54.0,7.8,117.0,T
PS3,2007.0,Action,Tecmo Koei,0.71,59.0,31.0,7.3,49.0,T
X360,2008.0,Sports,Electronic Arts,0.71,83.0,24.0,7.7,26.0,E
XB,2005.0,Shooter,Activision,0.71,77.0,41.0,7.9,16.0,M
X360,2012.0,Sports,Electronic Arts,0.7,82.0,65.0,6.4,186.0,E
Wii,2007.0,Role-Playing,Square Enix,0.7,65.0,43.0,5.9,21.0,T
X360,2007.0,Role-Playing,SouthPeak Games,0.7,50.0,44.0,5.5,182.0,M
GC,2003.0,Sports,Activision,0.7,89.0,19.0,8.5,24.0,T
PSP,2005.0,Action,Activision,0.7,67.0,43.0,6.9,8.0,T
X360,2007.0,Sports,Electronic Arts,0.7,81.0,30.0,7.8,44.0,E
